,product,price,quantity,date,region,sales
63,pink morsel,3,516,21-02-2018,west,1548
64,pink morsel,3,545,22-02-2018,north,1635
65,pink morsel,3,544,22-02-2018,south,1632
66,pink morsel,3,556,22-02-2018,east,1668
67,pink morsel,3,588,22-02-2018,west,1764
68,pink morsel,3,511,23-02-2018,north,1533
69,pink morsel,3,521,23-02-2018,south,1563
70,pink morsel,3,547,23-02-2018,east,1641
71,pink morsel,3,591,23-02-2018,west,1773
72,pink morsel,3,543,24-02-2018,north,1629
73,pink morsel,3,566,24-02-2018,south,1698
74,pink morsel,3,575,24-02-2018,east,1725
75,pink morsel,3,574,24-02-2018,west,1722
76,pink morsel,3,532,25-02-2018,north,1596
77,pink morsel,3,570,25-02-2018,south,1710
78,pink morsel,3,545,25-02-2018,east,1635
79,pink morsel,3,553,25-02-2018,west,1659
80,pink morsel,3,562,26-02-2018,north,1686
81,pink morsel,3,511,26-02-2018,south,1533
82,pink morsel,3,508,26-02-2018,east,1524
83,pink morsel,3,510,26-02-2018,west,1530
84,pink morsel,3,555,27-02-2018,north,1665
85,pink morsel,3,565,27-02-2018,south,1695
86,pink morsel,3,526,27-02-2018,east,1578
87,pink morsel,3,540,27-02-2018,west,1620
88,pink morsel,3,589,28-02-2018,north,1767
89,pink morsel,3,531,28-02-2018,south,1593
90,pink morsel,3,581,28-02-2018,east,1743
91,pink morsel,3,519,28-02-2018,west,1557
92,pink morsel,3,556,01-03-2018,north,1668
93,pink morsel,3,594,01-03-2018,south,1782
94,pink morsel,3,509,01-03-2018,east,1527
95,pink morsel,3,556,01-03-2018,west,1668
96,pink morsel,3,545,02-03-2018,north,1635
97,pink morsel,3,523,02-03-2018,south,1569
98,pink morsel,3,582,02-03-2018,east,1746
99,pink morsel,3,591,02-03-2018,west,1773
100,pink morsel,3,513,03-03-2018,north,1539
101,pink morsel,3,500,03-03-2018,south,1500
102,pink morsel,3,523,03-03-2018,east,1569
103,pink morsel,3,519,03-03-2018,west,1557
104,pink morsel,3,591,04-03-2018,north,1773
105,pink morsel,3,548,04-03-2018,south,1644
106,pink morsel,3,538,04-03-2018,east,1614
107,pink morsel,3,558,04-03-2018,west,1674
108,pink morsel,3,511,05-03-2018,north,1533
109,pink morsel,3,551,05-03-2018,south,1653
110,pink morsel,3,519,05-03-2018,east,1557
111,pink morsel,3,582,05-03-2018,west,1746
112,pink morsel,3,573,06-03-2018,north,1719
113,pink morsel,3,573,06-03-2018,south,1719
114,pink morsel,3,553,06-03-2018,east,1659
115,pink morsel,3,600,06-03-2018,west,1800
116,pink morsel,3,527,07-03-2018,north,1581
117,pink morsel,3,534,07-03-2018,south,1602
118,pink morsel,3,536,07-03-2018,east,1608
119,pink morsel,3,550,07-03-2018,west,1650
120,pink morsel,3,537,08-03-2018,north,1611
121,pink morsel,3,510,08-03-2018,south,1530
122,pink morsel,3,566,08-03-2018,east,1698
123,pink morsel,3,556,08-03-2018,west,1668
124,pink morsel,3,582,09-03-2018,north,1746
125,pink morsel,3,508,09-03-2018,south,1524
126,pink morsel,3,502,09-03-2018,east,1506
127,pink morsel,3,568,09-03-2018,west,1704
128,pink morsel,3,596,10-03-2018,north,1788
129,pink morsel,3,573,10-03-2018,south,1719
130,pink morsel,3,582,10-03-2018,east,1746
131,pink morsel,3,528,10-03-2018,west,1584
132,pink morsel,3,564,11-03-2018,north,1692
133,pink morsel,3,545,11-03-2018,south,1635
134,pink morsel,3,536,11-03-2018,east,1608
135,pink morsel,3,530,11-03-2018,west,1590
136,pink morsel,3,533,12-03-2018,north,1599
137,pink morsel,3,506,12-03-2018,south,1518
138,pink morsel,3,534,12-03-2018,east,1602
139,pink morsel,3,553,12-03-2018,west,1659
140,pink morsel,3,548,13-03-2018,north,1644
141,pink morsel,3,537,13-03-2018,south,1611
142,pink morsel,3,518,13-03-2018,east,1554
143,pink morsel,3,505,13-03-2018,west,1515
144,pink morsel,3,505,14-03-2018,north,1515
145,pink morsel,3,544,14-03-2018,south,1632
146,pink morsel,3,504,14-03-2018,east,1512
147,pink morsel,3,592,14-03-2018,west,1776
148,pink morsel,3,559,15-03-2018,north,1677
149,pink morsel,3,501,15-03-2018,south,1503
150,pink morsel,3,535,15-03-2018,east,1605
151,pink morsel,3,549,15-03-2018,west,1647
152,pink morsel,3,502,16-03-2018,north,1506
153,pink morsel,3,579,16-03-2018,south,1737
154,pink morsel,3,530,16-03-2018,east,1590
155,pink morsel,3,589,16-03-2018,west,1767
156,pink morsel,3,531,17-03-2018,north,1593
157,pink morsel,3,538,17-03-2018,south,1614
158,pink morsel,3,570,17-03-2018,east,1710
159,pink morsel,3,554,17-03-2018,west,1662
160,pink morsel,3,550,18-03-2018,north,1650
161,pink morsel,3,585,18-03-2018,south,1755
162,pink morsel,3,566,18-03-2018,east,1698
163,pink morsel,3,553,18-03-2018,west,1659
164,pink morsel,3,561,19-03-2018,north,1683
165,pink morsel,3,503,19-03-2018,south,1509
166,pink morsel,3,500,19-03-2018,east,1500
167,pink morsel,3,515,19-03-2018,west,1545
168,pink morsel,3,549,20-03-2018,north,1647
169,pink morsel,3,538,20-03-2018,south,1614
170,pink morsel,3,543,20-03-2018,east,1629
171,pink morsel,3,559,20-03-2018,west,1677
172,pink morsel,3,581,21-03-2018,north,1743
173,pink morsel,3,523,21-03-2018,south,1569
174,pink morsel,3,531,21-03-2018,east,1593
175,pink morsel,3,526,21-03-2018,west,1578
176,pink morsel,3,526,22-03-2018,north,1578
177,pink morsel,3,527,22-03-2018,south,1581
178,pink morsel,3,551,22-03-2018,east,1653
179,pink morsel,3,526,22-03-2018,west,1578
180,pink morsel,3,587,23-03-2018,north,1761
181,pink morsel,3,537,23-03-2018,south,1611
182,pink morsel,3,583,23-03-2018,east,1749
183,pink morsel,3,588,23-03-2018,west,1764
184,pink morsel,3,572,24-03-2018,north,1716
185,pink morsel,3,570,24-03-2018,south,1710
186,pink morsel,3,600,24-03-2018,east,1800
187,pink morsel,3,576,24-03-2018,west,1728
188,pink morsel,3,581,25-03-2018,north,1743
189,pink morsel,3,588,25-03-2018,south,1764
190,pink morsel,3,580,25-03-2018,east,1740
191,pink morsel,3,569,25-03-2018,west,1707
192,pink morsel,3,503,26-03-2018,north,1509
193,pink morsel,3,547,26-03-2018,south,1641
194,pink morsel,3,511,26-03-2018,east,1533
195,pink morsel,3,584,26-03-2018,west,1752
196,pink morsel,3,589,27-03-2018,north,1767
197,pink morsel,3,530,27-03-2018,south,1590
198,pink morsel,3,511,27-03-2018,east,1533
199,pink morsel,3,568,27-03-2018,west,1704
200,pink morsel,3,557,28-03-2018,north,1671
201,pink morsel,3,509,28-03-2018,south,1527
202,pink morsel,3,508,28-03-2018,east,1524
203,pink morsel,3,543,28-03-2018,west,1629
204,pink morsel,3,574,29-03-2018,north,1722
205,pink morsel,3,519,29-03-2018,south,1557
206,pink morsel,3,562,29-03-2018,east,1686
207,pink morsel,3,593,29-03-2018,west,1779
208,pink morsel,3,578,30-03-2018,north,1734
209,pink morsel,3,592,30-03-2018,south,1776
210,pink morsel,3,518,30-03-2018,east,1554
211,pink morsel,3,575,30-03-2018,west,1725
212,pink morsel,3,539,31-03-2018,north,1617
213,pink morsel,3,545,31-03-2018,south,1635
214,pink morsel,3,535,31-03-2018,east,1605
215,pink morsel,3,595,31-03-2018,west,1785
216,pink morsel,3,587,01-04-2018,north,1761
217,pink morsel,3,510,01-04-2018,south,1530
218,pink morsel,3,570,01-04-2018,east,1710
219,pink morsel,3,502,01-04-2018,west,1506
220,pink morsel,3,503,02-04-2018,north,1509
221,pink morsel,3,599,02-04-2018,south,1797
222,pink morsel,3,554,02-04-2018,east,1662
223,pink morsel,3,510,02-04-2018,west,1530
224,pink morsel,3,589,03-04-2018,north,1767
225,pink morsel,3,589,03-04-2018,south,1767
226,pink morsel,3,538,03-04-2018,east,1614
227,pink morsel,3,511,03-04-2018,west,1533
228,pink morsel,3,589,04-04-2018,north,1767
229,pink morsel,3,587,04-04-2018,south,1761
230,pink morsel,3,522,04-04-2018,east,1566
231,pink morsel,3,541,04-04-2018,west,1623
232,pink morsel,3,502,05-04-2018,north,1506
233,pink morsel,3,504,05-04-2018,south,1512
234,pink morsel,3,564,05-04-2018,east,1692
235,pink morsel,3,583,05-04-2018,west,1749
236,pink morsel,3,567,06-04-2018,north,1701
237,pink morsel,3,584,06-04-2018,south,1752
238,pink morsel,3,544,06-04-2018,east,1632
239,pink morsel,3,505,06-04-2018,west,1515
240,pink morsel,3,575,07-04-2018,north,1725
241,pink morsel,3,537,07-04-2018,south,1611
242,pink morsel,3,596,07-04-2018,east,1788
243,pink morsel,3,539,07-04-2018,west,1617
244,pink morsel,3,552,08-04-2018,north,1656
245,pink morsel,3,558,08-04-2018,south,1674
246,pink morsel,3,519,08-04-2018,east,1557
247,pink morsel,3,567,08-04-2018,west,1701
248,pink morsel,3,562,09-04-2018,north,1686
249,pink morsel,3,594,09-04-2018,south,1782
250,pink morsel,3,547,09-04-2018,east,1641
251,pink morsel,3,519,09-04-2018,west,1557
252,pink morsel,3,562,10-04-2018,north,1686
253,pink morsel,3,509,10-04-2018,south,1527
254,pink morsel,3,566,10-04-2018,east,1698
255,pink morsel,3,576,10-04-2018,west,1728
256,pink morsel,3,557,11-04-2018,north,1671
257,pink morsel,3,509,11-04-2018,south,1527
258,pink morsel,3,527,11-04-2018,east,1581
259,pink morsel,3,588,11-04-2018,west,1764
260,pink morsel,3,551,12-04-2018,north,1653
261,pink morsel,3,542,12-04-2018,south,1626
262,pink morsel,3,594,12-04-2018,east,1782
263,pink morsel,3,583,12-04-2018,west,1749
264,pink morsel,3,513,13-04-2018,north,1539
265,pink morsel,3,584,13-04-2018,south,1752
266,pink morsel,3,558,13-04-2018,east,1674
267,pink morsel,3,583,13-04-2018,west,1749
268,pink morsel,3,523,14-04-2018,north,1569
269,pink morsel,3,598,14-04-2018,south,1794
270,pink morsel,3,558,14-04-2018,east,1674
271,pink morsel,3,546,14-04-2018,west,1638
272,pink morsel,3,505,15-04-2018,north,1515
273,pink morsel,3,509,15-04-2018,south,1527
274,pink morsel,3,534,15-04-2018,east,1602
275,pink morsel,3,551,15-04-2018,west,1653
276,pink morsel,3,534,16-04-2018,north,1602
277,pink morsel,3,569,16-04-2018,south,1707
278,pink morsel,3,516,16-04-2018,east,1548
279,pink morsel,3,509,16-04-2018,west,1527
280,pink morsel,3,533,17-04-2018,north,1599
281,pink morsel,3,576,17-04-2018,south,1728
282,pink morsel,3,568,17-04-2018,east,1704
283,pink morsel,3,513,17-04-2018,west,1539
284,pink morsel,3,515,18-04-2018,north,1545
285,pink morsel,3,599,18-04-2018,south,1797
286,pink morsel,3,505,18-04-2018,east,1515
287,pink morsel,3,573,18-04-2018,west,1719
288,pink morsel,3,571,19-04-2018,north,1713
289,pink morsel,3,558,19-04-2018,south,1674
290,pink morsel,3,589,19-04-2018,east,1767
291,pink morsel,3,589,19-04-2018,west,1767
292,pink morsel,3,556,20-04-2018,north,1668
293,pink morsel,3,540,20-04-2018,south,1620
294,pink morsel,3,559,20-04-2018,east,1677
295,pink morsel,3,503,20-04-2018,west,1509
296,pink morsel,3,561,21-04-2018,north,1683
297,pink morsel,3,581,21-04-2018,south,1743
298,pink morsel,3,548,21-04-2018,east,1644
299,pink morsel,3,526,21-04-2018,west,1578
300,pink morsel,3,524,22-04-2018,north,1572
301,pink morsel,3,515,22-04-2018,south,1545
302,pink morsel,3,519,22-04-2018,east,1557
303,pink morsel,3,542,22-04-2018,west,1626
304,pink morsel,3,570,23-04-2018,north,1710
305,pink morsel,3,553,23-04-2018,south,1659
306,pink morsel,3,555,23-04-2018,east,1665
307,pink morsel,3,507,23-04-2018,west,1521
308,pink morsel,3,501,24-04-2018,north,1503
309,pink morsel,3,550,24-04-2018,south,1650
310,pink morsel,3,563,24-04-2018,east,1689
311,pink morsel,3,581,24-04-2018,west,1743
312,pink morsel,3,541,25-04-2018,north,1623
313,pink morsel,3,501,25-04-2018,south,1503
314,pink morsel,3,586,25-04-2018,east,1758
315,pink morsel,3,519,25-04-2018,west,1557
316,pink morsel,3,571,26-04-2018,north,1713
317,pink morsel,3,578,26-04-2018,south,1734
318,pink morsel,3,580,26-04-2018,east,1740
319,pink morsel,3,521,26-04-2018,west,1563
320,pink morsel,3,572,27-04-2018,north,1716
321,pink morsel,3,597,27-04-2018,south,1791
322,pink morsel,3,558,27-04-2018,east,1674
323,pink morsel,3,572,27-04-2018,west,1716
324,pink morsel,3,544,28-04-2018,north,1632
325,pink morsel,3,547,28-04-2018,south,1641
326,pink morsel,3,528,28-04-2018,east,1584
327,pink morsel,3,530,28-04-2018,west,1590
328,pink morsel,3,571,29-04-2018,north,1713
329,pink morsel,3,531,29-04-2018,south,1593
330,pink morsel,3,580,29-04-2018,east,1740
331,pink morsel,3,546,29-04-2018,west,1638
332,pink morsel,3,551,30-04-2018,north,1653
333,pink morsel,3,530,30-04-2018,south,1590
334,pink morsel,3,531,30-04-2018,east,1593
335,pink morsel,3,534,30-04-2018,west,1602
336,pink morsel,3,595,01-05-2018,north,1785
337,pink morsel,3,588,01-05-2018,south,1764
338,pink morsel,3,502,01-05-2018,east,1506
339,pink morsel,3,512,01-05-2018,west,1536
340,pink morsel,3,541,02-05-2018,north,1623
341,pink morsel,3,558,02-05-2018,south,1674
342,pink morsel,3,597,02-05-2018,east,1791
343,pink morsel,3,551,02-05-2018,west,1653
344,pink morsel,3,595,03-05-2018,north,1785
345,pink morsel,3,523,03-05-2018,south,1569
346,pink morsel,3,500,03-05-2018,east,1500
347,pink morsel,3,590,03-05-2018,west,1770
348,pink morsel,3,551,04-05-2018,north,1653
349,pink morsel,3,530,04-05-2018,south,1590
350,pink morsel,3,557,04-05-2018,east,1671
351,pink morsel,3,543,04-05-2018,west,1629
352,pink morsel,3,526,05-05-2018,north,1578
353,pink morsel,3,555,05-05-2018,south,1665
354,pink morsel,3,525,05-05-2018,east,1575
355,pink morsel,3,529,05-05-2018,west,1587
356,pink morsel,3,558,06-05-2018,north,1674
357,pink morsel,3,595,06-05-2018,south,1785
358,pink morsel,3,573,06-05-2018,east,1719
359,pink morsel,3,539,06-05-2018,west,1617
360,pink morsel,3,598,07-05-2018,north,1794
361,pink morsel,3,521,07-05-2018,south,1563
362,pink morsel,3,576,07-05-2018,east,1728
363,pink morsel,3,580,07-05-2018,west,1740
364,pink morsel,3,539,08-05-2018,north,1617
365,pink morsel,3,550,08-05-2018,south,1650
366,pink morsel,3,576,08-05-2018,east,1728
367,pink morsel,3,545,08-05-2018,west,1635
368,pink morsel,3,528,09-05-2018,north,1584
369,pink morsel,3,549,09-05-2018,south,1647
370,pink morsel,3,517,09-05-2018,east,1551
371,pink morsel,3,504,09-05-2018,west,1512
372,pink morsel,3,579,10-05-2018,north,1737
373,pink morsel,3,517,10-05-2018,south,1551
374,pink morsel,3,505,10-05-2018,east,1515
375,pink morsel,3,572,10-05-2018,west,1716
376,pink morsel,3,582,11-05-2018,north,1746
377,pink morsel,3,559,11-05-2018,south,1677
378,pink morsel,3,528,11-05-2018,east,1584
379,pink morsel,3,539,11-05-2018,west,1617
380,pink morsel,3,581,12-05-2018,north,1743
381,pink morsel,3,511,12-05-2018,south,1533
382,pink morsel,3,507,12-05-2018,east,1521
383,pink morsel,3,526,12-05-2018,west,1578
384,pink morsel,3,515,13-05-2018,north,1545
385,pink morsel,3,571,13-05-2018,south,1713
386,pink morsel,3,555,13-05-2018,east,1665
387,pink morsel,3,548,13-05-2018,west,1644
388,pink morsel,3,592,14-05-2018,north,1776
389,pink morsel,3,520,14-05-2018,south,1560
390,pink morsel,3,548,14-05-2018,east,1644
391,pink morsel,3,501,14-05-2018,west,1503
392,pink morsel,3,600,15-05-2018,north,1800
393,pink morsel,3,586,15-05-2018,south,1758
394,pink morsel,3,567,15-05-2018,east,1701
395,pink morsel,3,557,15-05-2018,west,1671
396,pink morsel,3,531,16-05-2018,north,1593
397,pink morsel,3,539,16-05-2018,south,1617
398,pink morsel,3,542,16-05-2018,east,1626
399,pink morsel,3,543,16-05-2018,west,1629
400,pink morsel,3,576,17-05-2018,north,1728
401,pink morsel,3,502,17-05-2018,south,1506
402,pink morsel,3,530,17-05-2018,east,1590
403,pink morsel,3,542,17-05-2018,west,1626
404,pink morsel,3,594,18-05-2018,north,1782
405,pink morsel,3,524,18-05-2018,south,1572
406,pink morsel,3,513,18-05-2018,east,1539
407,pink morsel,3,503,18-05-2018,west,1509
408,pink morsel,3,596,19-05-2018,north,1788
409,pink morsel,3,571,19-05-2018,south,1713
410,pink morsel,3,542,19-05-2018,east,1626
411,pink morsel,3,543,19-05-2018,west,1629
412,pink morsel,3,516,20-05-2018,north,1548
413,pink morsel,3,572,20-05-2018,south,1716
414,pink morsel,3,584,20-05-2018,east,1752
415,pink morsel,3,546,20-05-2018,west,1638
416,pink morsel,3,525,21-05-2018,north,1575
417,pink morsel,3,557,21-05-2018,south,1671
418,pink morsel,3,542,21-05-2018,east,1626
419,pink morsel,3,524,21-05-2018,west,1572
420,pink morsel,3,524,22-05-2018,north,1572
421,pink morsel,3,523,22-05-2018,south,1569
422,pink morsel,3,527,22-05-2018,east,1581
423,pink morsel,3,507,22-05-2018,west,1521
424,pink morsel,3,547,23-05-2018,north,1641
425,pink morsel,3,564,23-05-2018,south,1692
426,pink morsel,3,571,23-05-2018,east,1713
427,pink morsel,3,521,23-05-2018,west,1563
428,pink morsel,3,508,24-05-2018,north,1524
429,pink morsel,3,511,24-05-2018,south,1533
430,pink morsel,3,565,24-05-2018,east,1695
431,pink morsel,3,511,24-05-2018,west,1533
432,pink morsel,3,533,25-05-2018,north,1599
433,pink morsel,3,555,25-05-2018,south,1665
434,pink morsel,3,571,25-05-2018,east,1713
435,pink morsel,3,548,25-05-2018,west,1644
436,pink morsel,3,592,26-05-2018,north,1776
437,pink morsel,3,510,26-05-2018,south,1530
438,pink morsel,3,550,26-05-2018,east,1650
439,pink morsel,3,504,26-05-2018,west,1512
440,pink morsel,3,543,27-05-2018,north,1629
441,pink morsel,3,569,27-05-2018,south,1707
442,pink morsel,3,507,27-05-2018,east,1521
443,pink morsel,3,587,27-05-2018,west,1761
444,pink morsel,3,585,28-05-2018,north,1755
445,pink morsel,3,553,28-05-2018,south,1659
446,pink morsel,3,600,28-05-2018,east,1800
447,pink morsel,3,513,28-05-2018,west,1539
448,pink morsel,3,571,29-05-2018,north,1713
449,pink morsel,3,584,29-05-2018,south,1752
450,pink morsel,3,543,29-05-2018,east,1629
451,pink morsel,3,545,29-05-2018,west,1635
452,pink morsel,3,558,30-05-2018,north,1674
453,pink morsel,3,567,30-05-2018,south,1701
454,pink morsel,3,538,30-05-2018,east,1614
455,pink morsel,3,598,30-05-2018,west,1794
456,pink morsel,3,575,31-05-2018,north,1725
457,pink morsel,3,553,31-05-2018,south,1659
458,pink morsel,3,512,31-05-2018,east,1536
459,pink morsel,3,540,31-05-2018,west,1620
460,pink morsel,3,598,01-06-2018,north,1794
461,pink morsel,3,541,01-06-2018,south,1623
462,pink morsel,3,555,01-06-2018,east,1665
463,pink morsel,3,557,01-06-2018,west,1671
464,pink morsel,3,584,02-06-2018,north,1752
465,pink morsel,3,569,02-06-2018,south,1707
466,pink morsel,3,599,02-06-2018,east,1797
467,pink morsel,3,556,02-06-2018,west,1668
468,pink morsel,3,532,03-06-2018,north,1596
469,pink morsel,3,501,03-06-2018,south,1503
470,pink morsel,3,526,03-06-2018,east,1578
471,pink morsel,3,560,03-06-2018,west,1680
472,pink morsel,3,536,04-06-2018,north,1608
473,pink morsel,3,561,04-06-2018,south,1683
474,pink morsel,3,524,04-06-2018,east,1572
475,pink morsel,3,552,04-06-2018,west,1656
476,pink morsel,3,571,05-06-2018,north,1713
477,pink morsel,3,566,05-06-2018,south,1698
478,pink morsel,3,519,05-06-2018,east,1557
479,pink morsel,3,594,05-06-2018,west,1782
480,pink morsel,3,565,06-06-2018,north,1695
481,pink morsel,3,560,06-06-2018,south,1680
482,pink morsel,3,587,06-06-2018,east,1761
483,pink morsel,3,553,06-06-2018,west,1659
484,pink morsel,3,506,07-06-2018,north,1518
485,pink morsel,3,524,07-06-2018,south,1572
486,pink morsel,3,595,07-06-2018,east,1785
487,pink morsel,3,519,07-06-2018,west,1557
488,pink morsel,3,573,08-06-2018,north,1719
489,pink morsel,3,559,08-06-2018,south,1677
490,pink morsel,3,565,08-06-2018,east,1695
491,pink morsel,3,534,08-06-2018,west,1602
492,pink morsel,3,594,09-06-2018,north,1782
493,pink morsel,3,591,09-06-2018,south,1773
494,pink morsel,3,552,09-06-2018,east,1656
495,pink morsel,3,555,09-06-2018,west,1665
496,pink morsel,3,526,10-06-2018,north,1578
497,pink morsel,3,547,10-06-2018,south,1641
498,pink morsel,3,579,10-06-2018,east,1737
499,pink morsel,3,519,10-06-2018,west,1557
500,pink morsel,3,596,11-06-2018,north,1788
501,pink morsel,3,559,11-06-2018,south,1677
502,pink morsel,3,566,11-06-2018,east,1698
503,pink morsel,3,576,11-06-2018,west,1728
504,pink morsel,3,592,12-06-2018,north,1776
505,pink morsel,3,517,12-06-2018,south,1551
506,pink morsel,3,516,12-06-2018,east,1548
507,pink morsel,3,514,12-06-2018,west,1542
508,pink morsel,3,561,13-06-2018,north,1683
509,pink morsel,3,561,13-06-2018,south,1683
510,pink morsel,3,524,13-06-2018,east,1572
511,pink morsel,3,561,13-06-2018,west,1683
512,pink morsel,3,587,14-06-2018,north,1761
513,pink morsel,3,556,14-06-2018,south,1668
514,pink morsel,3,533,14-06-2018,east,1599
515,pink morsel,3,531,14-06-2018,west,1593
516,pink morsel,3,541,15-06-2018,north,1623
517,pink morsel,3,579,15-06-2018,south,1737
518,pink morsel,3,531,15-06-2018,east,1593
519,pink morsel,3,596,15-06-2018,west,1788
520,pink morsel,3,553,16-06-2018,north,1659
521,pink morsel,3,547,16-06-2018,south,1641
522,pink morsel,3,525,16-06-2018,east,1575
523,pink morsel,3,537,16-06-2018,west,1611
524,pink morsel,3,533,17-06-2018,north,1599
525,pink morsel,3,510,17-06-2018,south,1530
526,pink morsel,3,536,17-06-2018,east,1608
527,pink morsel,3,542,17-06-2018,west,1626
528,pink morsel,3,510,18-06-2018,north,1530
529,pink morsel,3,569,18-06-2018,south,1707
530,pink morsel,3,537,18-06-2018,east,1611
531,pink morsel,3,545,18-06-2018,west,1635
532,pink morsel,3,531,19-06-2018,north,1593
533,pink morsel,3,583,19-06-2018,south,1749
534,pink morsel,3,541,19-06-2018,east,1623
535,pink morsel,3,536,19-06-2018,west,1608
536,pink morsel,3,555,20-06-2018,north,1665
537,pink morsel,3,553,20-06-2018,south,1659
538,pink morsel,3,578,20-06-2018,east,1734
539,pink morsel,3,519,20-06-2018,west,1557
540,pink morsel,3,599,21-06-2018,north,1797
541,pink morsel,3,529,21-06-2018,south,1587
542,pink morsel,3,519,21-06-2018,east,1557
543,pink morsel,3,514,21-06-2018,west,1542
544,pink morsel,3,581,22-06-2018,north,1743
545,pink morsel,3,599,22-06-2018,south,1797
546,pink morsel,3,562,22-06-2018,east,1686
547,pink morsel,3,561,22-06-2018,west,1683
548,pink morsel,3,597,23-06-2018,north,1791
549,pink morsel,3,518,23-06-2018,south,1554
550,pink morsel,3,565,23-06-2018,east,1695
551,pink morsel,3,522,23-06-2018,west,1566
552,pink morsel,3,521,24-06-2018,north,1563
553,pink morsel,3,541,24-06-2018,south,1623
554,pink morsel,3,510,24-06-2018,east,1530
555,pink morsel,3,554,24-06-2018,west,1662
556,pink morsel,3,550,25-06-2018,north,1650
557,pink morsel,3,534,25-06-2018,south,1602
558,pink morsel,3,516,25-06-2018,east,1548
559,pink morsel,3,541,25-06-2018,west,1623
560,pink morsel,3,576,26-06-2018,north,1728
561,pink morsel,3,511,26-06-2018,south,1533
562,pink morsel,3,501,26-06-2018,east,1503
563,pink morsel,3,543,26-06-2018,west,1629
564,pink morsel,3,527,27-06-2018,north,1581
565,pink morsel,3,553,27-06-2018,south,1659
566,pink morsel,3,569,27-06-2018,east,1707
567,pink morsel,3,555,27-06-2018,west,1665
568,pink morsel,3,521,28-06-2018,north,1563
569,pink morsel,3,546,28-06-2018,south,1638
570,pink morsel,3,564,28-06-2018,east,1692
571,pink morsel,3,501,28-06-2018,west,1503
572,pink morsel,3,562,29-06-2018,north,1686
573,pink morsel,3,588,29-06-2018,south,1764
574,pink morsel,3,543,29-06-2018,east,1629
575,pink morsel,3,593,29-06-2018,west,1779
576,pink morsel,3,518,30-06-2018,north,1554
577,pink morsel,3,551,30-06-2018,south,1653
578,pink morsel,3,505,30-06-2018,east,1515
579,pink morsel,3,519,30-06-2018,west,1557
580,pink morsel,3,582,01-07-2018,north,1746
581,pink morsel,3,557,01-07-2018,south,1671
